id,Kichwa,Spanish,Etiqueta
0,abya yala,continente americano,neutro
1,abyalami chawchuri rikurimanta,racismo en america,malo
2,accidentes geograficos,allpapi tiyashkakuna,neutro
3,acequia,wayku,malo
4,"achachilasa, nawpa kawsakkuna kitsil",antepasados,neutro
5,achik,"claro, luz",neutro
6,achik mama,madrina,neutro
7,achik wawa,ahijado (ahijada),neutro
8,achik yaya / achik tayta,padrino,neutro
9,achiksamaytu,ozono,neutro
10,achikshumaytu,ozono,neutro
11,achikyachina (yuyaymanta),aclarar,neutro
12,achikyana (punchamanta),aclarar,neutro
13,achka,mucho,neutro
14,achkak,suficiente,neutro
15,ahak,ofensor,neutro
16,ahay,ofender,neutro
17,akapi,cebada,neutro
18,akcha,pelo, cabello,neutro
19,akcha kara,cuero cabelludo,neutro
20,akllashka chani,muestra estadistica,neutro
21,akllawarmi,virgen,neutro
22,akllay,escoger,neutro
23,akna,ceremonia,neutro
24,akna,ceremonia,neutro
25,akukutinchik,multiplo del gramo,neutro
26,akuna,masticar,neutro
27,akuy,vil,malo
28,alakay,alcanzar,neutro
29,alapana,pegar (adherir),malo
30,alaparina,apegarse, aferrarse,neutro
31,allana,excavar,neutro
32,allawka,derecha mano,neutro
33,allawka, alliman,derecho,neutro
34,alli,bien,bueno
35,alli maki,mano derecha,neutro
36,allichi,adorno,neutro
37,allichina,arreglar,neutro
38,allichiy,arreglar,neutro
39,allikachina,gustar,bueno
40,allikay,salud, beneficio
41,allikillkay,ortografia,neutro
42,allikillkay (w),ortografia,neutro
43,allimanta,despacio, de buena manera,neutro
44,allimikuy,nutricion,neutro
45,allin,magnifico,neutro
46,alliyana,sanar(curar),bueno
47,alliyay,recuperar la salud,bueno
48,allku,perro,neutro
49,allpa,tierra, suelo,neutro
50,allpa kara,corteza terrestre,neutro
51,allpa khiwa,hierba rastrera,neutro
52,allpachawpipacha muyuy,linea ecuatorial,neutro
53,allpachinkari,erosion,neutro
54,allpachinkariy,erosion,neutro
55,allpachukchuy,temblor,neutro
56,allpakamay saywachi,geografia politica,neutro
57,allpakutik,movimiento de nutacion,neutro
58,allpamama chaska,planeta tierra,neutro
59,allpamamakamay,geografia,neutro
60,allpamamapi rikuchi,ubicacion geografica,neutro
61,allpampay,superficie de la tierra,neutro
62,allpamuyuy,movimiento de traslacion,neutro
63,allpanpa,superficial,neutro
64,allpapacha,continente,neutro
65,allpapachakak,natural,neutro
66,allpapachapampa,superficie de la tierra,neutro
67,allpapachapi tiyak chalwakuna,recursos ictiologicos,neutro
68,allpapachapi tiyak chukikuna,recursos mineros,neutro
69,allpapachapi tiyak yakukuna,recursos hidrografico,neutro
70,allpapachapi tiyak yurakuna,recursos forestales,neutro
71,allpapachapi tiyakuna,recursos naturales,bueno
72,allpapiruruy,movimiento de rotacion,neutro
73,allparantikillka,escritura,neutro
74,allpashuyu,mapa,neutro
75,allpashuyukamay,cartografia,neutro
76,allpawaklliyay,erosion,neutro
77,allpawira,petroleo,neutro
78,allpawira, wisisi,petroleo,neutro
79,allpawku,subterraneo,neutro
80,allpanan,via terrestre,neutro
81,allpanutuchina,desterronar,neutro
82,almut,almud 25 lib,neutro
83,ama llulla,honestidad,neutro
84,amapuna,traer,neutro
85,amaru,serpiente,neutro
86,amawta,cientifico,neutro
87,amawta yachay,contenido cientifico,neutro
88,amawtay,ciencia,neutro
89,amanana,adaptar,neutro
90,amanana, yacharina,adaptar,neutro
91,amanarina,adaptarse,neutro
92,amanariy,adaptacion,neutro
93,amita,sopa,neutro
94,ampana,bostezar,neutro
95,amsa,opaco,neutro
96,amsayana,ocultar el sol,neutro
97,amukay,suavidad,bueno
98,amulliy,poner algo en la boca,neutro
99,ana,lunar,neutro
100,anaku,falda,neutro
101,anchachilasa, nawpa kawsakkuna,antepasados,neutro
102,anchakuyay,pasion de vehemencia amorosa,neutro
103,anchallpa,globo terraqueo,neutro
104,anchallpakamay,geopolitica,neutro
105,anchayupay,importancia,neutro
106,anchuchina,quitar(sustraer),neutro
107,anchuchiy,quitar,neutro
108,anchuna,irse de casa, moverse de sitio,neutro
109,anchuriy,retirarse,neutro
110,anchuy,retirada,neutro
