palabra,enfoque
SINDROME,MODELO BIO MEDICO
PERDIDA FUNCIONES COGNITIVAS,MODELO BIO MEDICO
ALTERACIONES BIOMARCADORES,MODELO BIO MEDICO
ENFERMEDAD NEURODEGENERATIVA,MODELO BIO MEDICO
ENTIDAD CLINICA BIOLOGICA,MODELO BIO MEDICO
ENFERMEDAD NEUROLOGICA,MODELO BIO MEDICO
TRASTORNO NEURODEGENERATIVO IRREVERSIBLE,MODELO BIO MEDICO
CONDICION CLINICA,MODELO BIO MEDICO
AFECTACION DEL CEREBRO,MODELO BIO MEDICO
DETERIORO COGNITIVO SIGNIFICATIVO,MODELO BIO MEDICO
PATOLOGIA FRONTO-PARIETAL DEL CEREBRO,MODELO BIO MEDICO
DEPOSITO ANORMAL PROTEINAS,MODELO BIO MEDICO
ENFERMEDAD DEL SISTEMA NERVIOSO,MODELO BIO MEDICO
ALTERACION DE LA FUNCIONALIDAD,MODELO BIO MEDICO
PERDIDA MEMORIA,MODELO BIO MEDICO
DETERIORO LABORAL,MODELO BIO MEDICO
DIFICULTAD EN CONTROL EMOCIONAL,MODELO BIO MEDICO
AFECTACION PERCEPTIVO MOTRIZ,MODELO BIO MEDICO
PERDIDAS DE LA ACTIVIDAD DE LA VIDA DIARIA,MODELO BIO MEDICO
ALTERACIONES CONDUCTUALES,MODELO BIO MEDICO
ALTERACIONES PSICOLOGICAS,MODELO BIO MEDICO
DETERIORO GLOBAL PERSISTENTE,MODELO BIO MEDICO
DIFICULTAD PARA RESOLVER PROBLEMAS,MODELO BIO MEDICO
DETERIORO COGNITIVO ADQUIRIDO,MODELO BIO MEDICO
Patologia multicausal,ENFOQUE PSICOSOCIAL - COMUNITARIO
Patologia multidimensional,ENFOQUE PSICOSOCIAL - COMUNITARIO
Problema de salud publica,ENFOQUE PSICOSOCIAL - COMUNITARIO
Una epidemia,ENFOQUE PSICOSOCIAL - COMUNITARIO
Enfermedad del siglo,ENFOQUE PSICOSOCIAL - COMUNITARIO
Problema social,ENFOQUE PSICOSOCIAL - COMUNITARIO
problema sanitario,ENFOQUE PSICOSOCIAL - COMUNITARIO
problema económico,ENFOQUE PSICOSOCIAL - COMUNITARIO
problema legal,ENFOQUE PSICOSOCIAL - COMUNITARIO
afecta entorno familiar,ENFOQUE PSICOSOCIAL - COMUNITARIO
afectacion del cuidador,ENFOQUE PSICOSOCIAL - COMUNITARIO
Problema sociosanitario,ENFOQUE PSICOSOCIAL - COMUNITARIO
Problema contextualizado,ENFOQUE PSICOSOCIAL - COMUNITARIO
Perdida de autonomia,ENFOQUE PSICOSOCIAL - COMUNITARIO
Locura,ENFOQUE COTIDIANO
Vejez,ENFOQUE COTIDIANO
Perdida del juicio,ENFOQUE COTIDIANO
Enfermedad crónica,ENFOQUE COTIDIANO
Senilidad,ENFOQUE COTIDIANO
Enfermedad irreversible,ENFOQUE COTIDIANO
Demente,ENFOQUE COTIDIANO
Sufrimiento,ENFOQUE COTIDIANO
Dependencia,ENFOQUE COTIDIANO
Enfermedad devastadora,ENFOQUE COTIDIANO
Enfermedad psiquiátrica,ENFOQUE COTIDIANO
Enfermedad compleja,ENFOQUE COTIDIANO
